MIP_ID	Subspecies	Subspecies_MIP_paralog
0200	vulgaris	no data
0201	graecus	paralog
0201	hybF2	paralog
0201	montandoni	no data
0201	vulgaris	no data
0202	graecus	no paralog
0202	hybF2	no paralog
0202	montandoni	no data
0202	vulgaris	no data
0203	graecus	no paralog
0203	hybF2	no paralog
0203	montandoni	no data
0203	vulgaris	no data
0204	graecus	no paralog
0204	hybF2	no paralog
0204	montandoni	no data
0204	vulgaris	no data
0205	graecus	no paralog
0205	hybF2	no paralog
0205	montandoni	no data
0205	vulgaris	no data
0206	graecus	no paralog
0206	hybF2	no paralog
0206	montandoni	no data
0206	vulgaris	no data
0207	graecus	no paralog
0207	hybF2	no paralog
0207	montandoni	no data
0207	vulgaris	no data
0208	graecus	no paralog
0208	hybF2	no paralog
0208	montandoni	no data
0208	vulgaris	no data
0209	graecus	no paralog
0209	hybF2	no paralog
0209	montandoni	no data
0209	vulgaris	no data
0210	graecus	no paralog
0210	hybF2	no paralog
0210	montandoni	no data
0210	vulgaris	no data
0211	graecus	no paralog
0211	hybF2	no paralog
0211	montandoni	no data
0211	vulgaris	no data
0212	graecus	no paralog
0212	hybF2	no data
0212	montandoni	no data
0212	vulgaris	no data
0213	graecus	paralog
0213	hybF2	paralog
0213	montandoni	no data
0213	vulgaris	no data
0214	graecus	no paralog
0214	hybF2	no paralog
0214	montandoni	no data
0214	vulgaris	no data
0215	graecus	no paralog
0215	hybF2	no paralog
0215	montandoni	no data
0215	vulgaris	no data
0216	graecus	no paralog
0216	hybF2	paralog
0216	montandoni	no data
0216	vulgaris	no data
0217	graecus	no paralog
0217	hybF2	no paralog
0217	montandoni	no data
0217	vulgaris	no data
0218	graecus	no paralog
0218	hybF2	no paralog
0218	montandoni	no data
0218	vulgaris	no data
0219	graecus	no paralog
0219	hybF2	no paralog
0219	montandoni	no data
0219	vulgaris	no data
0220	graecus	no paralog
0220	hybF2	no paralog
0220	montandoni	no data
0220	vulgaris	no data
0221	graecus	no paralog
0221	hybF2	no paralog
0221	montandoni	no data
0221	vulgaris	no data
0222	graecus	no paralog
0222	hybF2	no paralog
0222	montandoni	no data
0222	vulgaris	no data
0223	graecus	no paralog
0223	hybF2	paralog
0223	montandoni	no data
0223	vulgaris	no data
0224	graecus	no data
0224	hybF2	no data
0224	montandoni	no data
0224	vulgaris	no data
0225	graecus	no paralog
0225	hybF2	no data
0225	montandoni	no data
0225	vulgaris	no data
0226	graecus	no paralog
0226	hybF2	no paralog
0226	montandoni	no data
0226	vulgaris	no data
0227	graecus	no paralog
0227	hybF2	no paralog
0227	montandoni	no data
0227	vulgaris	no data
0228	graecus	no paralog
0228	hybF2	no paralog
0228	montandoni	no data
0228	vulgaris	no data
0229	graecus	no paralog
0229	hybF2	no paralog
0229	montandoni	no data
0229	vulgaris	no data
0230	graecus	no paralog
0230	hybF2	no paralog
0230	montandoni	no data
0230	vulgaris	no data
0231	graecus	no paralog
0231	hybF2	no paralog
0231	montandoni	no data
0231	vulgaris	no data
0232	graecus	no paralog
0232	hybF2	no paralog
0232	montandoni	no data
0232	vulgaris	no data
0233	graecus	no paralog
0233	hybF2	paralog
0233	montandoni	no data
0233	vulgaris	no data
0234	graecus	no data
0234	hybF2	no data
0234	montandoni	no data
0234	vulgaris	no data
0235	graecus	no paralog
0235	hybF2	no paralog
0235	montandoni	no data
0235	vulgaris	no data
0236	graecus	no paralog
0236	hybF2	no paralog
0236	montandoni	no data
0236	vulgaris	no data
0237	graecus	no paralog
0237	hybF2	no paralog
0237	montandoni	no data
0237	vulgaris	no data
0238	graecus	no data
0238	hybF2	no data
0238	montandoni	no data
0238	vulgaris	no data
0239	graecus	no paralog
0239	hybF2	no paralog
0239	montandoni	no data
0239	vulgaris	no data
0240	graecus	no paralog
0240	hybF2	no paralog
0240	montandoni	no data
0240	vulgaris	no data
0241	graecus	paralog
0241	hybF2	paralog
0241	montandoni	no data
0241	vulgaris	no data
0242	graecus	no paralog
0242	hybF2	no paralog
0242	montandoni	no data
0242	vulgaris	no data
0243	graecus	no paralog
0243	hybF2	no paralog
0243	montandoni	no data
0243	vulgaris	no data
0244	graecus	no paralog
0244	hybF2	no paralog
0244	montandoni	no data
0244	vulgaris	no data
0245	graecus	no paralog
0245	hybF2	no paralog
0245	montandoni	no data
0245	vulgaris	no data
0246	graecus	no paralog
0246	hybF2	no paralog
0246	montandoni	no data
0246	vulgaris	no data
0247	graecus	no paralog
0247	hybF2	paralog
0247	montandoni	no data
0247	vulgaris	no data
0248	graecus	no paralog
0248	hybF2	no paralog
0248	montandoni	no data
0248	vulgaris	no data
0249	graecus	paralog
0249	hybF2	no paralog
0249	montandoni	no data
0249	vulgaris	no data
0250	graecus	no paralog
0250	hybF2	no paralog
0250	montandoni	no data
0250	vulgaris	no data
0251	graecus	no paralog
0251	hybF2	paralog
0251	montandoni	no data
0251	vulgaris	no data
0252	graecus	no paralog
0252	hybF2	no paralog
0252	montandoni	no data
0252	vulgaris	no data
0253	graecus	no paralog
0253	hybF2	no paralog
0253	montandoni	no data
0253	vulgaris	no data
0254	graecus	no paralog
0254	hybF2	no paralog
0254	montandoni	no data
0254	vulgaris	no data
0255	graecus	no paralog
0255	hybF2	no paralog
0255	montandoni	no data
0255	vulgaris	no data
0256	graecus	no paralog
